japanese,pronounce,english
使う,つかう,"① to use (a thing, method, etc.), to make use of, to put to use ② to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate ③ to use (time, money, etc.), to spend, to consume ④ to use (language), to speak ⑤ to take (one's lunch), to circulate (bad money)"
始まる,はじまる,to begin
姉,あね,"older sister, elder sister"
姉さん,ねえさん,"① elder sister ② (vocative) young lady ③ miss (referring to a waitress, etc.) ④ ma'am (used by geisha to refer to their superiors)"
止まる,とまる,"① to stop, to halt ② to remain, to abide, to stay (in the one place) ③ to come to a halt ④ to be limited to"
死ぬ,しぬ,to die
私,わたし,"① I, me ② private affairs, personal matter, secrecy ③ selfishness"
持つ,もつ,"① to hold, to carry ② to possess"
時計,とけい,"watch, clock, timepiece"
自転車,じてんしゃ,bicycle
自動車,じどうしゃ,automobile
自分,じぶん,"① myself, yourself, oneself, himself, herself ② I, me"
質問,しつもん,"question, inquiry, enquiry"
写真,しゃしん,"① photograph, photo ② movie"
借りる,かりる,"① to borrow, to have a loan ② to rent, to hire"
弱い,よわい,"weak, frail, delicate, tender, unskilled, weak (wine)"
手紙,てがみ,letter
秋,あき,"autumn, fall"
習う,ならう,to learn
住む,すむ,"to live (of humans), to reside, to inhabit, to dwell, to abide"
重い,おもい,"① heavy, massive ② serious, important, severe, oppressed"
春,はる,"① spring, springtime ② new year ③ prime (of one's life, etc.) ④ adolescence, puberty ⑤ sexuality"
始め,はじめ,"beginning, start, origin"
暑い,あつい,"hot (weather, etc.), warm"
少ない,すくない,"few, a little, scarce, insufficient, seldom"
乗る,のる,"① to get on, to ride in, to board, to mount, to get up on ② to spread (paints), to be taken in ③ to share in, to join, to feel like doing, to be mentioned in, to be in harmony with ④ to appear (in print), to be recorded, to be found in (a dictionary)"
色,いろ,"① colour, color ② complexion ③ appearance, look ④ love, lust, sensuality, love affair, lover ⑤ kind, type, variety"
食べ物,たべもの,food
食堂,しょくどう,"① dining room, dining hall, cafeteria, messroom ② restaurant, eatery, snack bar, diner"
新しい,あたらしい,new
